qid	question
1	What is the step by step guide to invest in share market in india?
3	What is the step by step guide to invest in share market in india?
5	How can I increase the speed of my internet connection while using a VPN?
7	Why am I mentally very lonely? How can I solve it?
9	Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?
11	Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?
13	Should I buy tiago?
15	How can I be a good geologist?
17	When do you use シ instead of し?
19	Motorola (company): Can I hack my Charter Motorolla DCX3400?
21	Method to find separation of slits using fresnel biprism?